acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,like
0.0271,6.45,17.478,0.0004536,0.185,0.2631488896,0.1572,2.974322158,3.82,:(
0.0376,4.035,14.688,6.804,0.105,0.5423810012,0.1251,3.5007031656,2.505,:(
0.0661,7.155,10.134,0,0.084,0.5700304554,0.0774,2.6352684324,0.3545,:(
0.00252,8.07,11.61,18.249,0.149,0.8272935702,0.1158,1.7902107532,1.91,:(
0.204,7.2,9.126,8.946,0.622,0.9022345412,0.0768,1.7896993596,2.06,:(
0.361,6.795,16.308,0.011949,0.26,0.2738254114,0.345,2.7059587148,2.365,:(
0.00461,6.99,15.48,0.0008946,0.254,0.2207849982,0.1653,2.4710521916,3.34,:(
0.024,5.43,17.298,0.00019635,0.159,0.3876398728,0.2571,3.2260849896,2.455,:(
8.47E-06,5.52,16.794,15.603,0.0317,0.4481401636,0.2127,1.8275621292,2.455,:(
0.000597,7.32,11.7,14.994,0.101,0.349724532,0.1008,3.1079138104,3.85,:(
0.0483,10.365,11.358,0.0002373,0.104,0.4433494166,0.1104,1.8096240276,4,:(
0.00417,5.34,15.696,0.20475,0.0997,0.5363583478,0.204,3.2709499128,3.035,:(
0.000194,9.84,14.778,0.04872,0.101,0.331109058,0.0975,2.3199158168,3.955,:(
0.00836,12.27,12.69,0.04893,0.613,0.4571057044,0.531,2.7253129824,3.86,:(
0.000202,9.03,16.29,1.344,0.117,0.2769051774,0.2325,2.518002026,2.055,:(
0.0198,13.905,6.642,0.006363,0.088,0.605071348,0.1149,1.9695327636,3.86,:(
5.24E-05,6.645,17.208,17.325,0.135,0.4241864284,0.1533,2.8865002016,4.545,:(
0.11,9.135,11.556,0.020706,0.172,0.5021387264,0.1023,2.9520568828,1.48,:(
0.000139,8.67,16.056,0.2331,0.215,0.5442288608,0.1323,2.955321932,4.46,:(
0.0714,11.445,14.526,5.88,0.348,0.2541833488,0.105,2.026651456,2.795,:(
0.0032,6.24,10.062,19.425,0.101,0.834000616,0.1272,3.9349350432,0.695,:(
0.0684,5.79,7.164,16.779,0.146,0.8383122882,0.117,2.9842156508,0.4405,:(
0.126,6.45,9.81,0.11319,0.187,0.5931629196,0.093,2.5611557488,2.935,:(
0.321,6.405,10.854,3.528,0.204,0.6286144476,0.093,2.4350776432,0.985,:(
0.000239,6.27,16.29,2.73,0.0413,0.4230229614,0.2238,3.5402968048,1.275,:(
0.000105,3.165,15.984,19.236,0.0913,0.4529309106,0.1377,1.8684342516,1.82,:(
0.00242,8.715,15.642,18.039,0.0868,0.2516510968,0.1938,2.163311468,1.84,:(
0.135,4.47,11.142,0.00014763,0.333,0.3882558258,0.0861,2.9853957888,1.815,:(
0.0484,6.18,16.236,2.751,0.405,0.7938952196,1.215,1.7650934768,2.11,:(
0.000582,4.755,15.966,0.05418,0.0891,0.4990589604,0.1125,3.3361132144,4.355,:(
0.124,7.8,16.416,0.03171,0.239,0.5141155938,0.1461,2.5845618244,3.51,:(
0.00217,4.065,13.788,10.92,0.0707,0.5495671218,0.0987,2.810971352,4.015,:(
0.436,10.26,8.748,0.0020517,0.12,0.8569277624,0.1155,2.2634265316,4.13,:(
0.0632,10.95,15.624,1.3881,0.318,0.5013174554,0.0864,2.9152759064,4.615,:(
0.00498,6.255,12.654,6.048,0.453,0.6423707354,0.0831,1.5923802404,1.1,:(
0.00603,5.19,13.824,7.98,0.0244,0.3897614892,0.1131,3.3337332692,2.66,:(
0.735,7.215,4.716,0.2394,0.832,1.0765492934,0.1242,2.4169821896,1.875,:(
0.00298,5.7,13.68,0.6174,0.104,0.7501625432,0.1134,1.9558234908,2.455,:(
0.0029,4.995,16.686,0.004431,0.297,0.5851555282,0.2199,2.7825693576,1.91,:(
0.00876,7.995,16.29,12.138,0.0698,0.360674811,0.2262,2.1419509652,2.43,:(
0.0831,7.11,12.726,0,0.162,0.310303528,0.0759,1.6371468192,1.12,:(
0.015,6.6,15.858,1.512,0.682,0.235026429,0.1386,2.994077682,1.09,:(
0.000584,7.53,15.696,18.564,0.0897,0.4648020444,0.1215,1.9902779224,0.93,:(
